Date,Military Time,Isolate ID,PCR Date,Pyro Machine,Well,DispSeq,Tech,Region,Pyromark File Name (Machine #-date-military time),Fwd Primer,Rev Primer,Seq Primer
4/19/2011,,ES-006,4/18/2011,1,B6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-007,4/18/2011,1,B7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-008,4/18/2011,1,B8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-009,4/18/2011,1,C1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-010,4/18/2011,1,C2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-011,4/18/2011,1,C3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-012,4/18/2011,1,C4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-013,4/18/2011,1,C5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-014,4/18/2011,1,C6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-015,4/18/2011,1,C7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-016,4/18/2011,1,C8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
1/20/2011,,Ct-012,12/15/2010,EBI 1,A1,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-013,12/15/2010,EBI 1,A2,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-014,12/15/2010,EBI 1,A3,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-015,12/15/2010,EBI 1,A4,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-016,12/15/2010,EBI 1,A5,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-017,12/15/2010,EBI 1,A6,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-018,12/15/2010,EBI 1,A7,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-019,12/15/2010,EBI 1,A8,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-020,12/15/2010,EBI 1,B1,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-021,12/15/2010,EBI 1,B2,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Dg-015,12/15/2010,EBI 1,B3,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Dg-016,12/15/2010,EBI 1,B4,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
